,Instrument,Company Common Name,ESG Coverage Flag,Region of Headquarters
504,RIEN.S,Rieter Holding AG,True,Europe
505,SCHP.S,Schindler Holding AG,True,Europe
506,SWTQ.S,Schweiter Technologies AG,True,Europe
507,SFZN.S,Siegfried Holding AG,True,Europe
508,SIKA.S,Sika AG,True,Europe
509,SUN.S,Sulzer AG,True,Europe
510,TECN.S,Tecan Group AG,True,Europe
511,REHN.S,Romande Energie Holding SA,True,Europe
512,VBSN.S,IVF Hartmann Holding AG,True,Europe
513,VPBN.S,VP Bank AG,True,Europe
514,VETN.S,Vetropack Holding SA,True,Europe
515,VILN.S,Villars Holding SA,True,Europe
516,VONN.S,Vontobel Holding AG,True,Europe
517,ZEHN.S,Zehnder Group AG,True,Europe
518,BYS.S,Bystronic AG,True,Europe
519,ZUGER.S,Zuger Kantonalbank,True,Europe
520,ROCKb.CO,Rockwool A/S,True,Europe
521,1MC.AX,Morella Corporation Ltd,True,Oceania
522,MDT.N,Medtronic PLC,True,Europe
523,FREG.DE,Fresenius SE & Co KGaA,True,Europe
524,SVEG.OL,Sparebanken Vest,True,Europe
525,CLSJ.J,Clicks Group Ltd,True,Africa
526,CCEP.OQ,Coca-Cola Europacific Partners PLC,True,Europe
527,PDL.L,Petra Diamonds Ltd,True,Europe
528,PFI.NZ,Property for Industry Ltd,True,Oceania
529,BKOM.PR,Komercni Banka as,True,Europe
530,CEZP.PR,CEZ as,True,Europe
