,Instrument,Company Common Name,ESG Coverage Flag,Region of Headquarters,TRBC Economic Sector Name
8675,CSTE.OQ,Caesarstone Ltd,True,Asia,Consumer Cyclicals
8676,7202.SE,Arabian Internet and Communications Services Company SJSC,True,Asia,Technology
8677,002678.SZ,Guangzhou Pearl River Piano Group Co Ltd,True,Asia,Consumer Cyclicals
8678,6058.T,Vector Inc,True,Asia,Consumer Cyclicals
8679,002815.SZ,Suntak Technology Co Ltd,True,Asia,Technology
8680,603806.SS,Hangzhou First Applied Material Co Ltd,True,Asia,Basic Materials
8681,002683.SZ,Guangdong Hongda Holdings Group Co Ltd,True,Asia,Basic Materials
8682,002714.SZ,Muyuan Foods Co Ltd,True,Asia,Consumer Non-Cyclicals
8683,3662.T,Ateam Inc,True,Asia,Technology
8684,002701.SZ,ORG Technology Co Ltd,True,Asia,Basic Materials
8685,JMT.BK,JMT Network Services PCL,True,Asia,Financials
8686,RHIM.NS,RHI Magnesita India Ltd,True,Asia,Basic Materials
8687,002698.SZ,Harbin Boshi Automation Co Ltd,True,Asia,Industrials
8688,603766.SS,Loncin Motor Co Ltd,True,Asia,Consumer Cyclicals
8689,300347.SZ,Hangzhou Tigermed Consulting Co Ltd,True,Asia,Healthcare
8690,002681.SZ,Shenzhen Fenda Technology Co Ltd,True,Asia,Technology
8691,002707.SZ,UTour Group Co Ltd,True,Asia,Consumer Cyclicals
8692,601608.SS,CITIC Heavy Industries Co Ltd,True,Asia,Industrials
8693,603288.SS,Foshan Haitian Flavouring and Food Co Ltd,True,Asia,Consumer Non-Cyclicals
8694,002727.SZ,Yixintang Pharmaceutical Group Co Ltd,True,Asia,Consumer Non-Cyclicals
8695,603688.SS,Jiangsu Pacific Quartz Co Ltd,True,Asia,Technology
8696,SEIN.NS,Schneider Electric Infrastructure Ltd,True,Asia,Industrials
8697,300383.SZ,Beijing Sinnet Technology Co Ltd,True,Asia,Technology
8698,002739.SZ,Wanda Film Holding Co Ltd,True,Asia,Consumer Cyclicals
8699,601016.SS,CECEP Wind-Power Corp,True,Asia,Utilities
8700,603606.SS,Ningbo Orient Wires & Cables Co Ltd,True,Asia,Industrials
8701,VIPS.N,Vipshop Holdings Ltd,True,Asia,Technology
8702,3698.HK,Huishang Bank Corp Ltd,True,Asia,Financials
8703,EITA.KL,EITA Resources Bhd,True,Asia,Industrials
8704,603369.SS,Jiangsu King's Luck Brewery Joint-Stock Co Ltd,True,Asia,Consumer Non-Cyclicals
8705,002709.SZ,Guangzhou Tinci Materials Technology Co Ltd,True,Asia,Basic Materials
8706,EMWPF.PK,Eros Media World PLC,True,Asia,Consumer Cyclicals
8707,BUMI.SI,Bumitama Agri Ltd,True,Asia,Consumer Non-Cyclicals
8708,603185.SS,Hongyuan Green Energy Co Ltd,True,Asia,Energy
8709,SAEN.KL,Sapura Energy Bhd,True,Asia,Energy
8710,601865.SS,Flat Glass Group Co Ltd,True,Asia,Energy
8711,002705.SZ,Guangdong Xinbao Electrical Appliances Holdings Co Ltd,True,Asia,Consumer Cyclicals
8712,601838.SS,Bank of Chengdu Co Ltd,True,Asia,Financials
8713,001203.SZ,Dazhong Mining Co Ltd,True,Asia,Basic Materials
8714,603699.SS,Neway Valve Suzhou Co Ltd,True,Asia,Industrials
8715,300369.SZ,NSFOCUS Technologies Group Co Ltd,True,Asia,Technology
8716,002773.SZ,Chengdu Kanghong Pharmaceutical Group Co Ltd,True,Asia,Healthcare
8717,603026.SS,Shida Shinghwa Advanced Material Group Co Ltd,True,Asia,Basic Materials
8718,601966.SS,Shandong Linglong Tyre Co Ltd,True,Asia,Consumer Cyclicals
8719,603019.SS,Dawning Information Industry Co Ltd,True,Asia,Technology
8720,603707.SS,Nanjing King-friend Biochemical Pharmaceutical Co Ltd,True,Asia,Healthcare
8721,PEIN.KL,PESTECH International Bhd,True,Asia,Industrials
8722,002756.SZ,Yongxing Special Materials Technology Co Ltd,True,Asia,Basic Materials
8723,601512.SS,China-Singapore Suzhou Industrial Park Development Group Co Ltd,True,Asia,Real Estate
8724,002736.SZ,Guosen Securities Co Ltd,True,Asia,Financials
8725,600917.SS,Chongqing Gas Group Corp Ltd,True,Asia,Utilities
8726,2930.T,Kitanotatsujin Corp,True,Asia,Consumer Cyclicals
8727,600926.SS,Bank of Hangzhou Co Ltd,True,Asia,Financials
8728,9802.TW,Fulgent Sun International (Holding) Co Ltd,True,Asia,Consumer Cyclicals
8729,601997.SS,Bank of Guiyang Co Ltd,True,Asia,Financials
8730,GENA.NS,General Insurance Corporation of India,True,Asia,Financials
8731,5274.TWO,Aspeed Technology Inc,True,Asia,Technology
8732,300357.SZ,Zhejiang Wolwo Bio-Pharmaceutical Co Ltd,True,Asia,Healthcare
8733,3279.T,Activia Properties Inc,True,Asia,Real Estate
8734,300363.SZ,Porton Pharma Solutions Ltd,True,Asia,Healthcare
8735,300373.SZ,Yangzhou Yangjie Electronic Technology Co Ltd,True,Asia,Technology
8736,2228.TW,Iron Force Industrial Co Ltd,True,Asia,Consumer Cyclicals
8737,TKNSA.IS,Teknosa Ic ve Dis Ticaret AS,True,Asia,Consumer Cyclicals
8738,GLOT.KL,Globaltec Formation Bhd,True,Asia,Industrials
8739,POLHO.IS,Polisan Holding AS,True,Asia,Basic Materials
8740,AAV.BK,Asia Aviation PCL,True,Asia,Industrials
8741,WHA.BK,WHA Corporation PCL,True,Asia,Real Estate
8742,300376.SZ,East Group Co Ltd,True,Asia,Industrials
8743,300408.SZ,Chaozhou Three-circle Group Co Ltd,True,Asia,Technology
8744,300390.SZ,Canmax Technologies Co Ltd,True,Asia,Basic Materials
8745,GMS.L,Gulf Marine Services PLC,True,Asia,Energy
8746,300418.SZ,Kunlun Tech Co Ltd,True,Asia,Technology
8747,300395.SZ,Hubei Feilihua Quartz Glass Co Ltd,True,Asia,Basic Materials
8748,PTG.BK,PTG Energy PCL,True,Asia,Energy
8749,603883.SS,LBX Pharmacy Chain JSC,True,Asia,Consumer Non-Cyclicals
8750,603799.SS,Zhejiang Huayou Cobalt Co Ltd,True,Asia,Basic Materials
8751,603885.SS,JUNEYAO AIRLINES Co Ltd,True,Asia,Industrials
8752,300529.SZ,Jafron Biomedical Co Ltd,True,Asia,Healthcare
8753,3665.T,Enigmo Inc,True,Asia,Technology
8754,GAQR.KL,Gabungan AQRS Bhd,True,Asia,Industrials
8755,OCKG.KL,OCK Group Bhd,True,Asia,Technology
8756,IHHH.KL,IHH Healthcare Bhd,True,Asia,Healthcare
8757,6098.T,Recruit Holdings Co Ltd,True,Asia,Industrials
8758,601068.SS,China Aluminum International Engineering Corp Ltd,True,Asia,Industrials
8759,KARE.KL,Karex Bhd,True,Asia,Consumer Non-Cyclicals
8760,VMAR.NS,V-mart Retail Ltd,True,Asia,Consumer Cyclicals
8761,6889.HK,Dynam Japan Holdings Co Ltd,True,Asia,Consumer Cyclicals
8762,RTNI.NS,Rattanindia Enterprises Ltd,True,Asia,Technology
8763,PASU.KL,Pasukhas Group Bhd,True,Asia,Industrials
8764,COCH.NS,Cochin Shipyard Ltd,True,Asia,Industrials
8765,DSON.KL,Datasonic Group Bhd,True,Asia,Technology
8766,IGRE.KL,IGB Real Estate Investment Trust,True,Asia,Real Estate
8767,ASSA.JK,Adi Sarana Armada Tbk PT,True,Asia,Industrials
8768,FAEH.SI,Far East Hospitality Trust,True,Asia,Real Estate
8769,CKP.BK,CK Power PCL,True,Asia,Utilities
8770,ASTR.KL,Astro Malaysia Holdings Bhd,True,Asia,Consumer Cyclicals
8771,TKN.BK,Taokaenoi Food & Marketing PCL,True,Asia,Consumer Non-Cyclicals
8772,VGI.BK,VGI PCL,True,Asia,Consumer Cyclicals
8773,7161.T,Jimoto Holdings Inc,True,Asia,Financials
8774,5703.T,Nippon Light Metal Holdings Co Ltd,True,Asia,Basic Materials
8775,6617.T,Takaoka Toko Co Ltd,True,Asia,Industrials
8776,MPHB.KL,MPHB Capital Bhd,True,Asia,Consumer Cyclicals
8777,4031.SE,Saudi Ground Services Company SJSC,True,Asia,Industrials
8778,FPIm.BK,Fortune Parts Industry PCL,True,Asia,Consumer Cyclicals
8779,PPP.BK,Premier Products PCL,True,Asia,Industrials
8780,PPSm.BK,Project Planning Service PCL,True,Asia,Industrials
8781,ARROWm.BK,Arrow Syndicate PCL,True,Asia,Industrials
8782,161390.KS,Hankook Tire & Technology Co Ltd,True,Asia,Consumer Cyclicals
8783,5289.TWO,Innodisk Corp,True,Asia,Technology
8784,GEOE.SI,Geo Energy Resources Ltd,True,Asia,Energy
8785,TUNE.KL,Tune Protect Group Bhd,True,Asia,Financials
8786,YY.OQ,JOYY Inc,True,Asia,Technology
8787,4004.SE,Dallah Healthcare Company SJSC,True,Asia,Healthcare
8788,VERUS.IS,Verusa Holding AS,True,Asia,Basic Materials
8789,6178.T,Japan Post Holdings Co Ltd,True,Asia,Financials
8790,HIAP.KL,Hiap Huat Holdings Bhd,True,Asia,Industrials
8791,3668.T,Colopl Inc,True,Asia,Technology
8792,3178.T,Chimney Co Ltd,True,Asia,Consumer Cyclicals
8793,4171.TWO,GeneReach Biotechnology Corp,True,Asia,Healthcare
8794,0884.HK,CIFI Holdings (Group) Co Ltd,True,Asia,Real Estate
8795,603858.SS,Shandong Buchang Pharmaceuticals Co Ltd,True,Asia,Healthcare
8796,601375.SS,Central China Securities Co Ltd,True,Asia,Financials
8797,7164.T,Zenkoku Hosho Co Ltd,True,Asia,Financials
8798,3281.T,GLP J-REIT,True,Asia,Real Estate
8799,2931.T,Euglena Co Ltd,True,Asia,Consumer Non-Cyclicals
8800,1030.HK,Seazen Group Ltd,True,Asia,Real Estate
8801,601878.SS,Zheshang Securities Co Ltd,True,Asia,Financials
8802,BERA.IS,Bera Holding AS,True,Asia,Consumer Non-Cyclicals
8803,ICON.KL,Icon Offshore Bhd,True,Asia,Energy
8804,600977.SS,China Film Co Ltd,True,Asia,Consumer Cyclicals
8805,1908.HK,C&D International Investment Group Ltd,True,Asia,Real Estate
8806,4174.TWO,OBI Pharma Inc,True,Asia,Healthcare
8807,601319.SS,People's Insurance Company Group of China Ltd,True,Asia,Financials
8808,6414.TW,Ennoconn Corp,True,Asia,Technology
8809,CHG.BK,Chularat Hospital PCL,True,Asia,Healthcare
8810,4167.TWO,Savior Lifetec Corp,True,Asia,Healthcare
8811,2587.T,Suntory Beverage & Food Ltd,True,Asia,Consumer Non-Cyclicals
8812,6411.TWO,Amazing Microelectronic Corp,True,Asia,Technology
8813,6412.TW,Chicony Power Technology Co Ltd,True,Asia,Industrials
8814,6409.TW,Voltronic Power Technology Corp,True,Asia,Industrials
8815,601728.SS,China Telecom Corp Ltd,True,Asia,Technology
8816,601598.SS,Sinotrans Ltd,True,Asia,Industrials
8817,1232.HK,Golden Wheel Tiandi Holdings Company Ltd,True,Asia,Real Estate
8818,AMATAV.BK,Amata VN PCL,True,Asia,Real Estate
8819,1680.HK,Macau Legend Development Ltd,True,Asia,Consumer Cyclicals
8820,3282.T,Comforia Residential Reit Inc,True,Asia,Real Estate
8821,AKSGY.IS,Akis Gayrimenkul Yatirim Ortakligi AS,True,Asia,Real Estate
8822,3283.T,Nippon Prologis REIT Inc,True,Asia,Real Estate
8823,600927.SS,Yongan Futures Co Ltd,True,Asia,Financials
8824,ICHI.BK,Ichitan Group PCL,True,Asia,Consumer Non-Cyclicals
8825,3182.T,Oisix Ra Daichi Inc,True,Asia,Consumer Cyclicals
8826,9025.T,Konoike Transport Co Ltd,True,Asia,Industrials
8827,HEXA.KL,Hextar Industries Bhd,True,Asia,Basic Materials
8828,HLGYO.IS,Halk Gayrimenkul Yatirim Ortakligi AS,True,Asia,Real Estate
8829,3673.T,Broadleaf Co Ltd,True,Asia,Technology
8830,TITI.KL,Titijaya Land Bhd,True,Asia,Real Estate
8831,1419.T,Tama Home Co Ltd,True,Asia,Consumer Cyclicals
8832,688187.SS,Zhuzhou CRRC Times Electric Co Ltd,True,Asia,Industrials
8833,BERA.KL,Bermaz Auto Bhd,True,Asia,Consumer Cyclicals
